ID,Database,Location, Bridge Type, Bridge Type Description,Center Latitude,Center Longitude,Center Elevation (m),Inundation Flag (Center),Culvert,
408,NBI,'0.1 E POINT BROWN AVE',2,Stringer/Multi-beam or Girder,46.98466212,-124.1565588,2.7,1,0,
409,NBI,'0.3 E POINT BROWN AVE',2,Stringer/Multi-beam or Girder,46.98525582,-124.1499316,5,1,0,
410,NBI,'1.83 W JCT US 101',1,Slab,47.0507733,-123.9628213,27.7,1,0,
411,NBI,'0.2 NW JCT 7365',2,Stringer/Multi-beam or Girder,47.1752506,-123.5127406,69.2,0,0,
412,NBI,'1.4 W JCT US 101',19,Culvert (inlcudes frame culverts),47.05454489,-123.9559706,22.6,1,1,
413,NBI,'0.8 W JCT US 101',19,Culvert (inlcudes frame culverts),47.05644844,-123.9436813,14.5,1,1,
414,NBI,'3.2 W JCT 6888',1,Slab,46.7987311,-123.352937,70.9,0,0,
415,NBI,'1.9 NW JCT SR 12',19,Culvert (inlcudes frame culverts),46.94307069,-123.3508364,14.5,1,1,
416,NBI,'0.2 SE JCT GARRARD CR RD',1,Slab,46.80897282,-123.2721505,28.8,1,0,
417,NBI,'2.2 N JCU 9710',19,Culvert (inlcudes frame culverts),47.02673689,-123.5250296,20.3,1,1,
418,NBI,'23.4 MILES N. SR12',19,Culvert (inlcudes frame culverts),47.24657195,-123.6121693,132,0,1,
419,NBI,'24.23 MILES N. SR12',19,Culvert (inlcudes frame culverts),47.25791711,-123.6148563,156.9,0,1,
420,NBI,'25.2 MILES N. SR12',4,Tee Beam,47.27010523,-123.6192677,178.1,0,0,
421,NBI,'26.0 MILES N. SR12',19,Culvert (inlcudes frame culverts),47.2775207,-123.628831,186.1,0,1,
422,NBI,'28.4 MILES N. SR12',4,Tee Beam,47.31395394,-123.6291015,217.1,0,0,
423,NBI,'O.1 MI S OF GARRARD CR RD',1,Slab,46.80436997,-123.2877518,34,0,0,
424,NBI,'SCHMID ROAD MP 0.5',1,Slab,46.81621386,-124.0919144,4.7,1,0,
425,NBI,'0.5 W JCT SR 12',1,Slab,46.93928899,-123.3217632,14.5,1,0,
426,NBI,'4.7 NE JCT SR101',19,Culvert (inlcudes frame culverts),47.49014385,-123.8177987,62.1,0,1,
427,NBI,'03.9 NE JCT 9519',1,Slab,47.04484075,-123.6523552,19,1,0,
428,NBI,'0.4 N GARRARD CREEK RD',19,Culvert (inlcudes frame culverts),46.83421456,-123.2640846,26.2,1,1,
429,NBI,'0.03 N WILDERNESS ROAD',1,Slab,46.8061126,-123.3302311,38.6,0,0,
430,NBI,'2.8 NE OF JCT SR 101',2,Stringer/Multi-beam or Girder,47.47311726,-123.83806,62.3,0,0,
431,NBI,'00.1 N MARINE DRIVE',2,Stringer/Multi-beam or Girder,46.95148656,-124.1466917,3.2,1,0,
432,NBI,'8.4 N Wishkah School',4,Tee Beam,47.21547412,-123.7082843,70.7,0,0,
433,NBI,'33.1 MILES N. SR12',19,Culvert (inlcudes frame culverts),47.37035001,-123.5999101,258.7,0,1,
434,NBI,'0.0 W JCT 9423',19,Culvert (inlcudes frame culverts),47.07196651,-124.0501617,6.5,1,1,
435,NBI,'0.5 SW JCT SR 12',19,Culvert (inlcudes frame culverts),46.83339912,-123.2330763,24.3,1,1,
436,NBI,'0.1 N JCT CR 1098',1,Slab,46.8116604,-124.0919193,5.1,1,0,
437,NBI,'1.4 SW JCT SR 12',2,Stringer/Multi-beam or Girder,46.83001927,-123.2501882,19.3,1,0,
438,NBI,'4.6 NW JCT US 101',19,Culvert (inlcudes frame culverts),47.05942604,-124.0037992,7.8,1,1,
439,NBI,'0.2 N of Copalis Bch Rd',2,Stringer/Multi-beam or Girder,47.12105517,-124.1519955,2.8,1,0,
440,NBI,'0.5 SE SR101 INTERSECTION',2,Stringer/Multi-beam or Girder,46.66426135,-123.7778494,2.1,1,0,
441,NBI,'2.2 MILES E JCT SR 107',19,Culvert (inlcudes frame culverts),46.96351628,-123.5639502,8.4,1,1,
442,NBI,'0.01 MI S JCT 84500',19,Culvert (inlcudes frame culverts),46.94613727,-123.2949341,21,1,1,
443,NBI,'4.4 SW JCT SOUTH BANK RD',2,Stringer/Multi-beam or Girder,46.93166714,-123.4266835,38.4,0,0,
444,NBI,'0.3 SE JCT GARRARD CRK RD',2,Stringer/Multi-beam or Girder,46.81186714,-123.2521841,24.4,1,0,
445,NBI,'0.7 MI NE JCT US101',19,Culvert (inlcudes frame culverts),47.17093817,-123.8750118,51.5,0,1,
446,NBI,'3.9 MI E JCT SR105',19,Culvert (inlcudes frame culverts),46.86904384,-123.9501465,5,1,1,
447,NBI,'4.3 MI E JCT SR105',19,Culvert (inlcudes frame culverts),46.86584607,-123.9437846,6.5,1,1,
448,NBI,'5.1 MI E JCT SR105',19,Culvert (inlcudes frame culverts),46.85841155,-123.9316701,11.1,1,1,
449,NBI,'0.12 SE JCT 86290',1,Slab,47.04319041,-123.2493462,86.1,0,0,
450,NBI,'0.03 N JCT 96412',19,Culvert (inlcudes frame culverts),46.9740256,-123.3891518,11.9,1,1,
451,NBI,'0.53 S JCT 96540',19,Culvert (inlcudes frame culverts),46.93175969,-123.3269365,13.5,1,1,
452,NBI,'1.3 W JCT 96540',19,Culvert (inlcudes frame culverts),46.94400231,-123.3515961,13.9,1,1,
453,NBI,'4.2 E JCT 96540',19,Culvert (inlcudes frame culverts),46.97466116,-123.3923963,16.3,1,1,
454,NBI,'5.28 N JCT 97100',19,Culvert (inlcudes frame culverts),47.06286097,-123.5010896,31,0,1,
455,NBI,'1.99 SE JCT SR 6',1,Slab,46.60951272,-123.6777224,69.5,0,0,
456,NBI,'0.11 N JCT OXBOW RD',19,Culvert (inlcudes frame culverts),46.58680885,-123.6318887,33.3,0,1,
457,NBI,'0.3 NE JCT SR 101',1,Slab,47.16488793,-123.8766505,46.8,0,0,
458,NBI,'0.35 W PT BROWN AVE',2,Stringer/Multi-beam or Girder,46.95994162,-124.1575964,3.1,1,0,
459,NBI,'0.9 W JCT MOX CHEHALIS RD',19,Culvert (inlcudes frame culverts),47.03638505,-123.2831378,76.5,0,1,
460,NBI,'1.1 W JCT MOX CHEHALIS RD',1,Slab,47.03413279,-123.28533,71.9,0,0,
461,NBI,'1.7 W JCT MOX CHEHALIS RD',1,Slab,47.02720261,-123.2916073,65,0,0,
462,NBI,'2.2 W JCT MOX CHEHALIS RD',1,Slab,47.02254421,-123.2979181,59.3,0,0,
463,NBI,'2.8 W JCT MOX CHEHALIS RD',1,Slab,47.01549039,-123.30833,55.3,0,0,
464,NBI,'7.9 NE JCT SR12',1,Slab,47.03413453,-123.2622057,76,0,0,
465,NBI,'8.7 E JCT US 101',2,Stringer/Multi-beam or Girder,46.83246829,-123.5892539,39.2,0,0,
466,NBI,'0.81 NE JCT 78150',19,Culvert (inlcudes frame culverts),47.03976561,-123.3517747,39.7,0,1,
467,NBI,'0.89 NE JCT 78150',19,Culvert (inlcudes frame culverts),47.04037874,-123.3505012,43,0,1,
468,NBI,'2.3 N JCT HOQ-WISHKAH RD',19,Culvert (inlcudes frame culverts),47.14539399,-123.8256708,48.3,0,1,
469,NBI,'2.5 N. JCT US12',19,Culvert (inlcudes frame culverts),47.00225132,-123.676124,19.1,1,1,
470,NBI,'1.7 SE JCT SR6',19,Culvert (inlcudes frame culverts),46.60725003,-123.6724439,69.6,0,1,
471,NBI,'0.4 N JCT ELMA HICKLIN RD',1,Slab,47.07387131,-123.30099,81,0,0,
472,NBI,'0.9 W JCT 95190',1,Slab,47.00568704,-123.6668501,14.1,1,0,
473,NBI,'1.0 W JCT 95190',1,Slab,47.00557607,-123.6682347,13.9,1,0,
